time us, current kA 

-1.68234, -12.188
-1.16888, -22.7718
-0.598697, -11.3963
-0.284934, -16.6465
0.000156257, -10.9588
0.0848473, 49.3771
0.141256, 93.2539
0.197508, 148.09
0.310325, 235.843
0.366578, 290.679
0.591665, 504.542
0.647605, 581.295
0.73214, 652.59
0.845426, 707.467
0.930195, 762.323
1.07161, 844.619
1.09934, 899.433
1.21263, 954.311
1.35412, 1031.13
1.49569, 1102.46
1.58085, 1129.92
1.63749, 1157.36
1.83648, 1201.34
2.06368, 1267.26
2.26213, 1349.6,
2.51831, 1382.66
2.66035, 1421.12
2.74511, 1475.98
2.85879, 1503.46
3.14263, 1596.82
3.34233, 1591.48
3.42749, 1618.94
3.56945, 1662.88
3.71148, 1701.34
3.91102, 1706.97
4.13877, 1734.53
4.33815, 1751.11
4.50878, 1784.12
4.6516, 1767.78
4.82208, 1811.74
4.90763, 1811.8
5.19264, 1822.97
5.42085, 1817.66
5.67719, 1839.76
5.90525, 1845.41
6.13338, 1845.58
6.39003, 1845.76
6.58973, 1840.43
6.81786, 1840.6
6.9317, 1840
7.10319, 1829.6
7.33124, 1835.49
7.44539, 1830.1
7.70212, 1820
7.87361, 1790
8.0169, 1748.32
8.24636, 1655.34
8.38996, 1584.21
8.4766, 1507.56
8.56325, 1430.91
8.59262, 1370.66
8.67896, 1315.93
8.73677, 1261.18
8.8806, 1173.61
8.9953, 1160
9.10874, 1173.78
9.27992, 1168.42
9.42281, 1146.61
9.53633, 1171
9.65111, 1135.82
9.96487, 1130.57
10.2216, 1125.28
10.3648, 1081.55
10.6215, 1076.25
10.9071, 1049.06
11.1355, 1032.79
11.3351, 1032.94
11.5635, 1016.67
11.7918, 1000.4
12.0486, 989.625
12.5341, 940.664
12.7053, 935.31
12.9338, 908.08
13.1051, 897.246
13.362, 875.516
13.5619, 859.223
13.8187, 848.452
14.0187, 821.201
14.304, 810.45
14.5324, 794.179
14.732, 794.325
