time us,current kA
-0.5,0.69569
-0.499,0.48707
-0.498,0.48707
-0.497,0.48707
-0.496,0.69569
-0.495,3.20055
-0.494,0.69569
-0.493,0.97413
-0.492,0.69569
-0.491,0.69569
-0.49,1.11321
-0.489,1.39151
-0.488,1.6701
-0.487,0.20876
-0.486,1.6701
-0.485,1.39151
-0.484,1.39151
-0.483,3.41002
-0.482,0.69569
-0.481,0.97413
-0.48,0.69569
-0.479,0.69569
-0.478,0.90445
-0.477,0.90445
-0.476,1.11321
-0.475,3.41002
-0.474,0.69569
-0.473,0.97413
-0.472,0.69569
-0.471,0.48707
-0.47,0.48707
-0.469,0.48707
-0.468,0.48707
-0.467,0.69569
-0.466,0.90445
-0.465,0.90445
-0.464,1.11321
-0.463,1.39151
-0.462,1.6701
-0.461,2.15745
-0.46,2.08763
-0.459,1.60028
-0.458,1.11321
-0.457,0.69569
-0.456,0.69569
-0.455,3.20055
-0.454,0.69569
-0.453,0.97413
-0.452,0.97413
-0.451,3.41002
-0.45,0.69569
-0.449,1.60028
-0.448,1.80833
-0.447,3.82755
-0.446,0.69569
-0.445,1.18275
-0.444,0.69569
-0.443,0.48707
-0.442,0.69569
-0.441,3.20055
-0.44,0.69569
-0.439,0.20876
-0.438,1.94798
-0.437,1.94798
-0.436,1.94798
-0.435,2.43533
-0.434,0.69569
-0.433,1.18275
-0.432,1.39151
-0.431,1.60028
-0.43,2.08763
-0.429,2.15745
-0.428,1.94798
-0.427,0.20876
-0.426,1.94798
-0.425,1.94798
-0.424,1.94798
-0.423,2.43533
-0.422,0.69569
-0.421,0.97413
-0.42,0.69569
-0.419,0.69569
-0.418,0.90445
-0.417,1.11321
-0.416,1.53045
-0.415,3.82755
-0.414,0.69569
-0.413,1.39151
-0.412,1.39151
-0.411,1.39151
-0.41,1.6701
-0.409,0.20876
-0.408,1.53045
-0.407,3.75773
-0.406,0.69569
-0.405,1.18275
-0.404,1.39151
-0.403,3.61808
-0.402,0.69569
-0.401,1.18275
-0.4,0.69569
-0.399,0.69569
-0.398,0.90445
-0.397,0.90445
-0.396,1.11321
-0.395,3.61808
-0.394,0.69569
-0.393,1.39151
-0.392,1.39151
-0.391,3.61808
-0.39,0.69569
-0.389,1.60028
-0.388,1.80833
-0.387,3.82755
-0.386,0.69569
-0.385,1.18275
-0.384,0.69569
-0.383,0.69569
-0.382,0.90445
-0.381,0.90445
-0.38,1.11321
-0.379,3.41002
-0.378,0.69569
-0.377,0.97413
-0.376,0.97413
-0.375,3.20055
-0.374,0.69569
-0.373,1.18275
-0.372,1.11321
-0.371,1.11321
-0.37,1.32197
-0.369,1.11321
-0.368,0.90445
-0.367,0.69569
-0.366,0.69569
-0.365,3.20055
-0.364,0.69569
-0.363,1.18275
-0.362,1.11321
-0.361,0.90445
-0.36,1.11321
-0.359,1.39151
-0.358,1.6701
-0.357,4.3833
-0.356,2.3655
-0.355,2.3655
-0.354,2.3655
-0.353,2.3655
-0.352,2.3655
-0.351,2.3655
-0.35,2.3655
