time us,Ipinch kA
0.00716826,4.06E-02
0.0352733,1.19E+02
0.0778501,2.10E+02
0.0919161,2.67E+02
0.105982,3.23E+02
0.120075,3.74E+02
0.148153,4.99E+02
0.162219,5.56E+02
0.190486,6.41E+02
0.204553,6.97E+02
0.218646,7.48E+02
0.23263,8.22E+02
0.260844,9.18E+02
0.303366,1.02E+03
0.324601,1.08E+03
0.338694,1.13E+03,,,,,,,,,,,
0.359928,1.19E+03,,,,,,,,,,,
0.373994,1.24E+03,,,,,,,,,,,
0.395255,1.29E+03,,,,,,,,,,,
0.41649,1.35E+03,,,,,,,,,,,
0.430556,1.41E+03,,,,,,,,,,,
0.451817,1.46E+03,,,,,,,,,,,
0.480138,1.53E+03,,,,,,,,,,,
0.5014,1.58E+03,,,,,,,,,,,
0.529721,1.66E+03,,,,,,,,,,,
0.550956,1.71E+03,,,,,,,,,,,
0.586391,1.80E+03,,,,,,,,,,,
0.607652,1.85E+03,,,,,,,,,,,
0.636055,1.91E+03,,,,,,,,,,,
0.657316,1.96E+03,,,,,,,,,,,
0.685719,2.01E+03,,,,,,,,,,,
0.70698,2.06E+03
0.73541,2.12E+03
0.763839,2.17E+03
0.792269,2.22E+03
0.813503,2.27E+03
0.849101,2.33E+03
0.877531,2.38E+03
0.898873,2.41E+03
0.927303,2.46E+03
0.962901,2.51E+03
0.99133,2.56E+03
1.02693,2.62E+03
1.06255,2.66E+03
1.10535,2.71E+03
1.14094,2.76E+03
1.17657,2.80E+03
1.21936,2.85E+03
1.26218,2.89E+03
1.31214,2.93E+03
1.35496,2.97E+03
1.40498,3.01E+03
1.46214,3.05E+03
1.51935,3.08E+03
1.57656,3.11E+03
1.63377,3.13E+03
1.70537,3.15E+03
1.7698,3.17E+03
1.84143,3.18E+03
1.90592,3.19E+03
1.9776,3.19E+03
2.04214,3.18E+03
2.11383,3.18E+03
2.18554,3.18E+03
2.25725,3.17E+03
2.32181,3.16E+03
2.39355,3.15E+03
2.45812,3.14E+03
2.50849,3.10E+03
2.53738,3.05E+03
2.56632,3.00E+03
2.58807,2.95E+03
2.60268,2.89E+03
2.62445,2.83E+03
2.63917,2.75E+03
2.67536,2.68E+03
2.69713,2.62E+03
2.71171,2.57E+03
2.7336,2.49E+03
2.7482,2.44E+03
2.79173,2.33E+03
2.81348,2.28E+03
2.84242,2.22E+03
2.87134,2.17E+03
2.92882,2.14E+03
2.99339,2.13E+03
3.05793,2.13E+03
3.12258,2.10E+03
3.18009,2.07E+03
3.23043,2.03E+03
3.28079,1.99E+03
3.33116,1.95E+03
3.38867,1.92E+03
3.43898,1.89E+03
3.49652,1.85E+03
3.554,1.83E+03
3.61862,1.80E+03
3.68324,1.78E+03
3.73361,1.74E+03
3.76967,1.70E+03
3.80575,1.65E+03
3.84898,1.60E+03
3.91358,1.58E+03
